Wire	Slope	Shift
0	20	0.5
1	17.8216	0.650664
2	17.5016	0.695537
3	19.6752	0.596405
4	19.299	0.608929
5	18.9187	0.537533
6	20	0.5
7	19.2409	0.49957
8	19.8046	0.511397
9	18.5343	0.543541
10	18.1988	0.558923
11	17.8973	0.59861
12	20.4911	0.545721
13	20.2839	0.523213
14	17.2785	0.707027
15	17.6633	0.640291
16	20	0.5
17	18.2896	0.621486
18	16.797	0.666685
19	19.2221	0.575414
20	18.5525	0.670981
21	17.1976	0.687468
22	19.0483	0.648308
23 	16.1670	0.75459
