Wire	Slope	Shift
0	1	0
1	17.9438	11.6404
2	17.2378	12.2167
3	17.6292	11.9141
4	18.4362	12.1274
5	17.7912	10.4807
6	1	0
7	18.3839	10.1173
8	19.2302	10.6502
9	19.1054	10.0727
10	18.676	9.83893
11	19.0053	10.7324
12	19.6555	11.4416
13	19.2409	10.9715
14	17.762	12.216
15	18.8474	11.6593
16	1	0
17	18.4885	11.6282
18	17.3263	11.2744
19	19.7765	11.3362
20	17.9446	12.7829
21	18.0044	12.1242
22	17.25	12.3528
23	17.6759	11.7001
