Wire	Slope	Shift
0	1	0
1	17.6519	0.662012
2	18.3543	0.685085
3	19.4063	0.617416
4	19.0457	0.637431
5	18.1421	0.573003
6	1	0
7	18.0234	0.575956
8	19.2921	0.553636
9	20.2982	0.488755
10	18.2887	0.546559
11	18.4944	0.601283
12	19.6838	0.594233
13	19.7404	0.545814
14	22.3137	0.51649
15	19.1825	0.598467
16	1	0
17	18.523	0.619801
18	19.511	0.529451
19	19.4417	0.581294
20	18.746	0.675155
21	18.0028	0.666084
22	17.1584	0.714387
23	18.0628	0.64194
