2	0	4	1.11867
2	0	5	1.0544
2	0	6	1.05183
2	0	7	1.10967
2	0	8	1.06208
2	0	9	1.07006
2	0	10	1.07283
2	0	11	1.10813
2	0	12	1.02392
2	0	13	1.09615
2	0	14	1.05937
2	0	15	1.04558
2	1	4	1.01318
2	1	5	0.955216
2	1	6	0.95094
2	1	7	1.00584
2	1	8	0.967063
2	1	9	0.971957
2	1	10	0.971469
2	1	11	1.00432
2	1	12	0.932148
2	1	13	0.994524
2	1	14	0.963577
2	1	15	0.952503
2	2	4	1.02627
2	2	5	0.968414
2	2	6	0.963109
2	2	7	1.01877
2	2	8	0.978867
2	2	9	0.983461
2	2	10	0.983536
2	2	11	1.01739
2	2	12	0.944244
2	2	13	1.00763
2	2	14	0.977052
2	2	15	0.965501
2	3	4	0.979634
2	3	5	0.924527
2	3	6	0.919758
2	3	7	0.973533
2	3	8	0.934792
2	3	9	0.939229
2	3	10	0.939172
2	3	11	0.971056
2	3	12	0.900464
2	3	13	0.962544
2	3	14	0.93308
2	3	15	0.921722
2	4	4	1.00694
2	4	5	0.94961
2	4	6	0.945032
2	4	7	0.999458
2	4	8	0.960419
2	4	9	0.965527
2	4	10	0.9652
2	4	11	0.998303
2	4	12	0.927073
2	4	13	0.989234
2	4	14	0.958821
2	4	15	0.947448
2	5	4	1.02148
2	5	5	0.963725
2	5	6	0.959693
2	5	7	1.01439
2	5	8	0.975073
2	5	9	0.979563
2	5	10	0.979101
2	5	11	1.01381
2	5	12	0.940337
2	5	13	1.00305
2	5	14	0.972496
2	5	15	0.961857
2	6	4	1.04636
2	6	5	0.987367
2	6	6	0.982065
2	6	7	1.03875
2	6	8	0.997528
2	6	9	1.00253
2	6	10	1.00399
2	6	11	1.03846
2	6	12	0.963409
2	6	13	1.02792
2	6	14	0.996889
2	6	15	0.984089
2	7	4	1.04625
2	7	5	0.98677
2	7	6	0.982333
2	7	7	1.03907
2	7	8	0.998548
2	7	9	1.00373
2	7	10	1.0044
2	7	11	1.03831
2	7	12	0.963239
2	7	13	1.02734
2	7	14	0.996586
2	7	15	0.984806
2	8	4	1.08536
2	8	5	1.02343
2	8	6	1.01852
2	8	7	1.07712
2	8	8	1.03611
2	8	9	1.04133
2	8	10	1.04045
2	8	11	1.07638
2	8	12	0.998646
2	8	13	1.0647
2	8	14	1.03331
2	8	15	1.02066
2	9	4	1.64871
2	9	5	1.55654
2	9	6	1.54819
2	9	7	1.64064
2	9	8	1.57403
2	9	9	1.58224
2	9	10	1.58302
2	9	11	1.63701
2	9	12	1.51842
2	9	13	1.61864
2	9	14	1.57076
2	9	15	1.55162
2	10	4	1.00946
2	10	5	0.951433
2	10	6	0.947312
2	10	7	1.00234
2	10	8	0.962392
2	10	9	0.967539
2	10	10	0.967448
2	10	11	1.00128
2	10	12	0.928597
2	10	13	0.99021
2	10	14	0.960809
2	10	15	0.948933
2	11	4	1.03393
2	11	5	0.975314
2	11	6	0.971251
2	11	7	1.02677
2	11	8	0.986529
2	11	9	0.991452
2	11	10	0.991829
2	11	11	1.02593
2	11	12	0.952038
2	11	13	1.01503
2	11	14	0.984875
2	11	15	0.972876
2	12	4	1.01311
2	12	5	0.955416
2	12	6	0.950243
2	12	7	1.00554
2	12	8	0.966159
2	12	9	0.971076
2	12	10	0.971418
2	12	11	1.00474
2	12	12	0.932047
2	12	13	0.994098
2	12	14	0.96358
2	12	15	0.952435
2	13	4	1.0264
2	13	5	0.967604
2	13	6	0.962985
2	13	7	1.01953
2	13	8	0.979255
2	13	9	0.983815
2	13	10	0.984517
2	13	11	1.0186
2	13	12	0.944124
2	13	13	1.00698
2	13	14	0.976897
2	13	15	0.964991
