Wire	Slope	Shift
0	17.2788	11.3867
1	17.7949	11.7081
2	18.4351	12.4981
3	18.5511	11.9542
4	19.2473	12.0889
5	18.2194	10.4733
6	1	0
7	18.622	9.98613
8	19.046	10.5975
9	19.2213	10.1156
10	19.0107	9.78536
11	18.8272	10.7616
12	20.5222	11.3845
13	20.2285	10.6614
14	17.8851	12.1979
15	18.8947	11.4574
16	1	0
17	19.2776	11.4523
18	17.8265	11.0723
19	18.8244	11.2203
20	18.0917	12.6892
21	17.6732	12.1313
22	17.3125	12.3474
23	17.0763	11.7271
