Wire	Slope	Shift
0	1	0
1	17.4512	0.669328
2	17.8287	0.702345
3	18.093	0.657385
4	18.8434	0.640602
5	17.6911	0.588447
6	1	0
7	18.1517	0.560044
8	19.0356	0.556778
9	19.4466	0.517751
10	18.2198	0.555729
11	18.6796	0.584128
12	19.7916	0.589043
13	19.5548	0.551846
14	18.3017	0.67366
15	18.6549	0.614361
16	1	0
17	18.7408	0.617203
18	17.2635	0.649066
19	18.9286	0.593305
20	18.6527	0.6758
21	18.0535	0.668389
22	17.5994	0.700844
23	17.5877	0.66793
