DetNum	FrontCh	Offset
0	0	-3.80645
0	1	-5.10929
0	2	-2.99179
0	3	0.466728
0	4	-3.47227
0	5	-1.36778
0	6	0.197566
0	7	3.16718
0	8	0.196027
0	9	3.74225
0	10	2.15986
0	11	1.44688
0	12	3.78687
0	13	7.11331
0	14	5.29158
0	15	26.8554
0	16	30.1839
0	17	29.0005
0	18	29.6786
0	19	19.5519
0	20	25.2474
0	21	24.0882
0	22	17.9025
0	23	23.5501
0	24	22.9037
0	25	19.9665
0	26	21.7345
0	27	16.8537
0	28	16.5949
0	29	17.2009
0	30	14.6495
0	31	15.5942
1	0	-1.00421
1	1	-1.42759
1	2	-2.16639
1	3	-4.19879
1	4	0.259061
1	5	-7.96626
1	6	-4.87834
1	7	-0.498111
1	8	-3.84689
1	9	-6.89005
1	10	-8.28576
1	11	-8.87499
1	12	-15.2884
1	13	-23.3462
1	14	-26.3872
1	15	-25.5524
1	16	-12.4883
1	17	-0.651156
1	18	16.3867
1	19	25.3311
1	20	0
1	21	36.4544
1	22	33.7989
1	23	35.8848
1	24	38.3313
1	25	40.2361
1	26	29.8112
1	27	33.6265
1	28	36.7893
1	29	29.2754
1	30	0
1	31	30.2573
2	0	0
2	1	0
2	2	0
2	3	0
2	4	-4.89355
2	5	-5.92062
2	6	-8.92609
2	7	-13.7765
2	8	-7.33011
2	9	-13.1183
2	10	-10.0537
2	11	-13.7408
2	12	-21.904
2	13	-23.6355
2	14	-28.8869
2	15	-26.1078
2	16	-15.3656
2	17	-6.79549
2	18	4.03831
2	19	17.3695
2	20	21.7787
2	21	25.0874
2	22	8.07614
2	23	31.2651
2	24	30.2237
2	25	81.8876
2	26	21.483
2	27	40.0556
2	28	21.1277
2	29	21.7293
2	30	0
2	31	0
3	0	-5.06377
3	1	-3.59198
3	2	-7.01168
3	3	-3.77018
3	4	-11.1687
3	5	-4.24848
3	6	-5.4848
3	7	0.875451
3	8	5.17808
3	9	2.38531
3	10	2.28297
3	11	6.44575
3	12	8.51997
3	13	134.376
3	14	1.07483
3	15	29.7106
3	16	27.253
3	17	21.5101
3	18	21.532
3	19	19.0183
3	20	-35.3849
3	21	18.6578
3	22	20.9454
3	23	20.3672
3	24	14.9668
3	25	12.3712
3	26	15.131
3	27	12.1354
3	28	12.3279
3	29	16.6088
3	30	9.61742
3	31	12.5572
