DetNum	FrontCh	Offset
4	0	-0.0866107
4	1	22.3353
4	2	23.3464
4	3	8.36321
4	4	15.069
4	5	30.1495
4	6	22.3403
4	7	51.2023
4	8	15.069
4	9	30.1495
4	10	22.3403
4	11	51.2023
5	0	0.0604534
5	1	-25.2353
5	2	-24.5756
5	3	-3.27576
5	4	50.2739
5	5	55.7948
5	6	62.1411
5	7	59.8141
5	8	50.2739
5	9	55.7948
5	10	62.1411
5	11	59.8141
6	0	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
7	0	-0.090371
7	1	5.22178
7	2	-1.11767
7	3	-7.26037
7	4	64.7087
7	5	66.0942
7	6	66.7621
7	7	78.0144
7	8	64.7087
7	9	66.0942
7	10	66.7621
7	11	78.0144
8	0	0.03673
8	1	-1.58354
8	2	0.76198
8	3	-10.4656
8	4	39.7719
8	5	48.3933
8	6	51.102
8	7	46.7795
8	8	39.7719
8	9	48.3933
8	10	51.102
8	11	46.7795
9	0	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
10	0	-0.62197
10	1	12.2343
10	2	10.8214
10	3	-0.63793
10	4	63.066
10	5	59.0165
10	6	43.9595
10	7	24.3808
10	8	63.066
10	9	59.0165
10	10	43.9595
10	11	24.3808
11	0	-0.228886
11	1	0
11	2	0
11	3	0
11	4	37.8541
11	5	56.4689
11	6	91.1089
11	7	0
11	8	37.8541
11	9	56.4689
11	10	91.1089
11	11	0
12	0	0.191743
12	1	17.7577
12	2	16.7317
12	3	-6.14538
12	4	74.5883
12	5	70.9185
12	6	208.034
12	7	0
12	8	74.5883
12	9	70.9185
12	10	208.034
12	11	0
13	0	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
14	0	0.204688
14	1	25.246
14	2	28.483
14	3	19.3397
14	4	12.8323
14	5	17.6363
14	6	25.4473
14	7	25.9742
14	8	12.8323
14	9	17.6363
14	10	25.4473
14	11	25.9742
15	0	0.0712436
15	1	27.0842
15	2	25.3825
15	3	11.377
15	4	13.6143
15	5	18.2508
15	6	14.9709
15	7	20.4392
15	8	13.6143
15	9	18.2508
15	10	14.9709
15	11	20.4392
16	0	-0.571698
16	1	4.66566
16	2	9.42782
16	3	3.5934
16	4	58.1326
16	5	51.1907
16	6	45.6525
16	7	13.2051
16	8	58.1326
16	9	51.1907
16	10	45.6525
16	11	13.2051
17	0	2.33412
17	1	-18.14
17	2	-19.5032
17	3	-107.172
17	4	28.7454
17	5	17.3122
17	6	28.9964
17	7	44.9712
17	8	28.7454
17	9	17.3122
17	10	28.9964
17	11	44.9712
18	0	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
19	0	-4.88193
19	1	30.2083
19	2	11.9088
19	3	-259.775
19	4	48.5139
19	5	65.6946
19	6	31.6962
19	7	13.31
19	8	48.5139
19	9	65.6946
19	10	31.6962
19	11	13.31
20	0	-0.933862
20	1	19.9568
20	2	14.2128
20	3	1.20354
20	4	44.3748
20	5	49.7106
20	6	52.6921
20	7	56.4911
20	8	44.3748
20	9	49.7106
20	10	52.6921
20	11	56.4911
21	0	-0.0956039
21	1	21.7888
21	2	13.3911
21	3	13.2694
21	4	0
21	5	49.0749
21	6	0
21	7	54.464
21	8	0
21	9	49.0749
21	10	0
21	11	54.464
22	0	-3.94133
22	1	10.4331
22	2	7.91521
22	3	4.81922
22	4	45.6846
22	5	47.0719
22	6	70.1267
22	7	60.4271
22	8	45.6846
22	9	47.0719
22	10	70.1267
22	11	60.4271
23	0	0.225202
23	1	14.2471
23	2	15.0656
23	3	-1.70519
23	4	40.9579
23	5	43.7083
23	6	48.2474
23	7	53.9907
23	8	40.9579
23	9	43.7083
23	10	48.2474
23	11	53.9907
24	0	0
24	1	0
24	2	0
24	3	0
24	4	50.2723
24	5	53.2422
24	6	40.6489
24	7	13.8046
24	8	50.2723
24	9	53.2422
24	10	40.6489
24	11	13.8046
25	0	0
25	1	0
25	2	0
25	3	0
25	4	52.6559
25	5	56.1584
25	6	59.6917
25	7	68.9598
25	8	52.6559
25	9	56.1584
25	10	59.6917
25	11	68.9598
26	0	0
26	1	0
26	2	0
26	3	0
26	4	44.401
26	5	49.3966
26	6	48.2867
26	7	49.6183
26	8	44.401
26	9	49.3966
26	10	48.2867
26	11	49.6183
27	0	0
27	1	0
27	2	0
27	3	0
27	4	0
27	5	39.9274
27	6	50.9868
27	7	49.4917
27	8	0
27	9	39.9274
27	10	50.9868
27	11	49.4917
