MBID	CBID	Chan	Offset		Volts/Chan
1	1	0	-0.407873	0.000622209
1	1	1	-0.500968	0.000687056
1	1	2	-0.452904	0.000639765
1	1	3	-0.459119	0.000650489
1	1	4	-70.7978	0.104869
1	1	5	-0.426567	0.000639344
1	1	6	-0.439698	0.000669961
1	1	7	-0.441889	0.000686387
1	1	8	-0.442947	0.000679592
1	1	9	-0.43556	0.00066538
1	1	10	-0.429312	0.000707079
1	1	11	-0.467405	0.000685203
1	1	12	-0.449681	0.000673039
1	1	13	-0.463808	0.000673924
1	1	14	-28.8539	0.0509383
1	1	15	-0.430778	0.000602753
1	2	0	-0.530034	0.000709634
1	2	1	-0.505936	0.000655438
1	2	2	-0.519592	0.000670282
1	2	3	-0.536374	0.000717826
1	2	4	-0.461086	0.000656261
1	2	5	-0.446027	0.000678352
1	2	6	-0.47513	0.000696024
1	2	7	-0.505939	0.000674216
1	2	8	-0.461407	0.000655925
1	2	9	-0.540223	0.000704761
1	2	10	-0.468365	0.000661538
1	2	11	-0.513033	0.000662017
1	2	12	-0.480243	0.000701355
1	2	13	-0.47649	0.000666449
1	2	14	-0.433904	0.000636154
1	2	15	-0.480058	0.000676604
1	3	0	-0.3738		0.000702305
1	3	1	-0.42185	0.000660404
1	3	2	-0.39246	0.000666253
1	3	3	-0.383495	0.000710494
1	3	4	-0.495811	0.000689195
1	3	5	-0.415769	0.000682628
1	3	6	-0.447145	0.00070298
1	3	7	-0.394853	0.00068516
1	3	8	-0.425314	0.000657396
1	3	9	-0.500172	0.000721127
1	3	10	-0.410702	0.000689192
1	3	11	-0.46077	0.00066726
1	3	12	-0.447139	0.000735042
1	3	13	-0.496982	0.000646659
1	3	14	-0.406301	0.000663445
1	3	15	-0.512285	0.000679785
1	4	0	-0.407732	0.000687153
1	4	1	-0.363269	0.000726677
1	4	2	-0.388076	0.000655643
1	4	3	-0.461742	0.000697903
1	4	4	-0.414146	0.000732205
1	4	5	-0.372348	0.000692605
1	4	6	-0.503334	0.000676251
1	4	7	-0.392124	0.000711596
1	4	8	-0.441851	0.000691748
1	4	9	-0.378692	0.000679621
1	4	10	-0.468942	0.000697655
1	4	11	-0.402131	0.000704069
1	4	12	-0.453558	0.000650031
1	4	13	-0.475198	0.000751655
1	4	14	-0.477377	0.000740591
1	4	15	-0.393574	0.000666053
1	5	0	-0.349617	0.000682668
1	5	1	-0.283867	0.000683139
1	5	2	-0.314263	0.000657114
1	5	3	-0.316844	0.000611042
1	5	4	-0.324056	0.000665572
1	5	5	-0.334927	0.00065684
1	5	6	-0.323827	0.000667184
1	5	7	-0.320523	0.00067591
1	5	8	-0.296155	0.000641554
1	5	9	-0.257872	0.000651186
1	5	10	-0.372472	0.000680199
1	5	11	-0.306082	0.00063879
1	5	12	-0.313724	0.000665184
1	5	13	-0.29617	0.000672869
1	5	14	-0.323378	0.000662575
1	5	15	-0.301125	0.000628526
1	6	0	-0.323142	0.000637196
1	6	1	-0.313191	0.000643046
1	6	2	-0.346206	0.000643193
1	6	3	-0.313642	0.000690136
1	6	4	-0.369188	0.000650021
1	6	5	-0.32373	0.000650781
1	6	6	-0.312878	0.00065423
1	6	7	-0.300038	0.000629908
1	6	8	-0.271482	0.000644456
1	6	9	-0.356966	0.000680589
1	6	10	-0.32172	0.000643
1	6	11	-0.306924	0.000638712
1	6	12	-0.388179	0.000679103
1	6	13	-0.333163	0.000634234
1	6	14	-0.299252	0.000644707
1	6	15	-0.352562	0.000683528
1	7	0	-0.41883	0.000685088
1	7	1	-0.41364	0.000634603
1	7	2	-0.434916	0.000680029
1	7	3	-0.406779	0.000719961
1	7	4	-0.404151	0.000664654
1	7	5	-0.438955	0.0006625
1	7	6	-0.431378	0.000728341
1	7	7	-0.419554	0.000651336
1	7	8	-0.454036	0.00067602
1	7	9	-0.48824	0.000726422
1	7	10	-0.408754	0.000653228
1	7	11	-0.410161	0.00065203
1	7	12	-1.36686	0.00225981
1	7	13	-0.444662	0.000683543
1	7	14	-0.376968	0.000671879
1	7	15	-0.423925	0.000714493
1	8	0	-0.425825	0.000649652
1	8	1	-0.45651	0.000700077
1	8	2	1.12412		0.000627712
1	8	3	-0.413937	0.000715391
1	8	4	-0.476739	0.000689662
1	8	5	-0.490324	0.00067303
1	8	6	-0.43644	0.000678714
1	8	7	-0.39252	0.000674525
1	8	8	-0.412051	0.000672062
1	8	9	-0.467752	0.000691762
1	8	10	-0.480945	0.000710254
1	8	11	-0.39296	0.000697917
1	8	12	-0.380726	0.000677338
1	8	13	-0.409635	0.000682286
1	8	14	-0.407839	0.000693177
1	8	15	-0.420667	0.000642192
1	9	0	-0.239915	0.000714469
1	9	1	-0.271713	0.000641257
1	9	2	-0.284426	0.000657196
1	9	3	-0.349007	0.000646396
1	9	4	-0.389409	0.000636843
1	9	5	-0.313481	0.000667748
1	9	6	-0.317736	0.000643314
1	9	7	-0.312795	0.000668428
1	9	8	-0.327521	0.000668534
1	9	9	-0.309932	0.000677069
1	9	10	-0.281676	0.000659942
1	9	11	-0.255781	0.000667242
1	9	12	-0.287496	0.000689951
1	9	13	-0.336369	0.000675569
1	9	14	-0.305137	0.000658725
1	9	15	-0.308529	0.000681439
1	10	0	-0.298744	0.000676487
1	10	1	-0.324736	0.000651524
1	10	2	-0.285005	0.000666401
1	10	3	-0.290279	0.000687055
1	10	4	-0.294453	0.000684507
1	10	5	-0.343578	0.0006601
1	10	6	-0.303357	0.000672585
1	10	7	-0.306467	0.000696707
1	10	8	-0.269218	0.000671974
1	10	9	-0.27678	0.00061964
