Wire	Slope	Shift
0	16.4081	11.5307
1	17.5769	12.2353
2	18.1846	10.9259
3	18.8879	11.5480
4	19.1815	11.2045
5	18.4251	9.5580
6	17.6	11.0
7	18.6881	9.8851
8	18.2884	10.7829
9	17.9722	10.2143
10	16.9005	9.6758
11	16.8893	10.9380
12	17.9374	10.8196
13	18.1262	10.7778
14	16.2572	11.6587
15	16.9714	11.5714
16	17.6	11.0
17	21.6568	9.4950
18	15.3584	11.4919
19	16.7508	11.5654
20	16.1154	12.7089
21	16.1460	11.9399
22	16.8657	12.1478
23	16.8939	11.6048
