Wire	Slope	Shift
 0 17.0947 11.371 
 1 17.7096 12.0921 
 2 18.1391 10.7307 
 3 18.4651 11.6473 
 4 18.8869 11.3278 
 5 18.9987 9.36058 
 6 1 0 
 7 18.3513 10.0494 
 8 18.5707 10.9116 
 9 18.5639 10.4708 
10 16.1218 9.86901 
11 17.815 10.96 
12 17.4307 10.7775 
13 16.5572 10.7919 
14 16.1955 11.7588 
15 17.2472 11.7135 
16 1 0 
17 23.9754 8.61064 
18 15.4028 11.5508 
19 16.1182 11.3993 
20 16.5288 12.5757 
21 17.3549 11.7426 
22 16.1208 11.8259 
23 17.3667 11.2966 
