DetNum	FrontCh	BackCh	min	max
14	3	1	-0.377	-0.013
14	3	2	-0.020	 0.347
14	3	3	 0.343	 0.707
15	0	0	-0.733	-0.353
15	0	1	-0.357	 0.020
15	0	2	 0.023	 0.410
15	0	3	 0.400	 0.787
15	1	0	-0.767	-0.400
15	1	1	-0.407	-0.037
15	1	2	-0.033	 0.337
15	1	3	 0.333	 0.697
15	2	0	-0.753	-0.380
15	2	1	-0.380	-0.017
15	2	2	-0.017	 0.363
15	2	3	 0.370	 0.743
15	3	0	-0.837	-0.463
15	3	1	-0.460	-0.073
15	3	2	-0.077	 0.310
15	3	3	 0.310	 0.703
16	0	0	-0.853	-0.443
16	0	1	-0.437	-0.037
16	0	2	-0.030	 0.370
16	0	3	 0.380	 0.773
16	1	0	-0.850	-0.443
16	1	1	-0.453	-0.033
16	1	2	-0.027	 0.370
16	1	3	 0.387	 0.800
16	2	0	-0.947	-0.517
16	2	1	-0.510	-0.093
16	2	2	-0.083	 0.313
16	2	3	 0.337	 0.733
16	3	0	-0.853	-0.430
16	3	1	-0.430	-0.017
16	3	2	-0.020	 0.387
16	3	3	 0.390	 0.793
17	0	0	-0.813	-0.407
17	0	1	-0.397	 0.037
17	0	2	 0.027	 0.463
17	0	3	 0.460	 0.890
17	1	0	-0.847	-0.433
17	1	1	-0.427	-0.020
17	1	2	 0.007	 0.440
17	1	3	 0.437	 0.867
17	2	0	-0.817	-0.420
17	2	1	-0.417	-0.013
17	2	2	-0.013	 0.400
17	2	3	 0.397	 0.820
17	3	0	-0.897	-0.490
17	3	1	-0.473	-0.053
17	3	2	-0.043	 0.363
17	3	3	 0.363	 0.797
18	0	0	-1.000	-0.500
18	0	1	-0.500	 0.000
18	0	2	 0.000	 0.500
18	0	3	 0.500	 1.000
18	1	0	-1.000	-0.500
18	1	1	-0.500	 0.000
18	1	2	 0.000	 0.500
18	1	3	 0.500	 1.000
18	2	0	-1.000	-0.500
18	2	1	-0.500	 0.000
18	2	2	 0.000	 0.500
18	2	3	 0.500	 1.000
18	3	0	-1.000	-0.500
18	3	1	-0.500	 0.000
18	3	2	 0.000	 0.500
18	3	3	 0.500	 1.000
19	0	0	-0.840	-0.407
19	0	1	-0.407	 0.020
19	0	2	 0.037	 0.447
19	0	3	 0.447	 0.857
19	1	0	-0.873	-0.450
19	1	1	-0.453	-0.037
19	1	2	-0.027	 0.387
19	1	3	 0.380	 0.770
19	2	0	-0.830	-0.417
19	2	1	-0.410	-0.013
19	2	2	-0.003	 0.403
19	2	3	 0.403	 0.813
19	3	0	-0.940	-0.497
19	3	1	-0.500	-0.067
19	3	2	-0.070	 0.350
19	3	3	 0.347	 0.760
20	0	0	-0.863	-0.453
20	0	1	-0.457	-0.033
20	0	2	-0.037	 0.380
20	0	3	 0.387	 0.780
20	1	0	-0.853	-0.410
20	1	1	-0.427	 0.020
20	1	2	 0.030	 0.450
20	1	3	 0.460	 0.873
20	2	0	-0.850	-0.443
20	2	1	-0.443	-0.033
20	2	2	-0.030	 0.380
20	2	3	 0.393	 0.803
20	3	0	-0.847	-0.437
20	3	1	-0.440	-0.023
20	3	2	-0.037	 0.377
20	3	3	 0.380	 0.790
21	0	0	-1.000	-0.500
21	0	1	-0.500	 0.000
21	0	2	 0.000	 0.500
21	0	3	 0.500	 1.000
21	1	0	-0.867	-0.457
21	1	1	-0.457	-0.047
21	1	2	-0.040	 0.380
21	1	3	 0.380	 0.787
