DetNum	FrontCh	Gain
4	0	1
4	1	0.949389
4	2	1.01917
4	3	0.980023
4	4	0.975789
4	5	0.953948
4	6	0.983163
4	7	0.901893
4	8	0.949242
4	9	1.02132
4	10	0.912124
4	11	0.995879
5	0	1
5	1	0.989943
5	2	1.03165
5	3	1.00282
5	4	1.01368
5	5	1.02326
5	6	1.02744
5	7	1.06402
5	8	1.05303
5	9	1.05191
5	10	1.06219
5	11	1.03222
6	0	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
7	0	1
7	1	1.06139
7	2	1.07514
7	3	1.09141
7	4	1.0875
7	5	1.05699
7	6	1.04295
7	7	1.05553
7	8	1.12674
7	9	1.06861
7	10	1.0579
7	11	1.05295
8	0	1
8	1	0.986243
8	2	0.900612
8	3	0.973579
8	4	0.905442
8	5	0.933454
8	6	0.924339
8	7	0.884912
8	8	0.904331
8	9	0.962297
8	10	0.970943
8	11	0.988517
9	0	1
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	11	0
10	0	1
10	1	0.930879
10	2	0.936131
10	3	0.910735
10	4	0.925121
10	5	0.942469
10	6	0.973624
10	7	0.900219
10	8	0.922986
10	9	0.910219
10	10	0.923139
10	11	0.928161
11	0	1
11	1	0
11	2	0
11	3	0
11	4	0.949817
11	5	0.958911
11	6	0.956492
11	7	0
11	8	1.06839
11	9	1.05917
11	10	1.07464
11	11	0
12	0	1
12	1	0.912936
12	2	0.958526
12	3	0.974137
12	4	0.916536
12	5	0.964927
12	6	1.04406
12	7	0
12	8	0.959026
12	9	0.961035
12	10	1.16439
12	11	0
13	0	1
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0
13	10	0
13	11	0
14	0	1
14	1	0.94843
14	2	0.929968
14	3	0.94635
14	4	0.887773
14	5	0.933371
14	6	0.903617
14	7	0.966579
14	8	0.917841
14	9	0.950863
14	10	0.978039
14	11	0.94176
15	0	1
15	1	0.986331
15	2	0.929464
15	3	0.97989
15	4	0.952661
15	5	0.978754
15	6	0.933095
15	7	0.97788
15	8	0.947667
15	9	0.924891
15	10	0.984873
15	11	0.947382
16	0	1
16	1	1.055
16	2	1.0778
16	3	1.04499
16	4	1.13152
16	5	1.07194
16	6	1.13334
16	7	1.09727
16	8	1.01761
16	9	1.09298
16	10	1.01987
16	11	1.09088
17	0	1
17	1	0.961898
17	2	0.937512
17	3	1.50573
17	4	1.03429
17	5	1.02596
17	6	0.991369
17	7	1.13424
17	8	1.08014
17	9	1.12001
17	10	1.0892
17	11	1.06219
18	0	1
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
19	0	1
19	1	0.975136
19	2	0.98604
19	3	0.96012
19	4	1.02205
19	5	1.00153
19	6	0.929459
19	7	0.994295
19	8	1.05712
19	9	1.00895
19	10	0.981481
19	11	0.953542
20	0	1
20	1	0.973544
20	2	0.92299
20	3	0.921398
20	4	0.986022
20	5	0.962713
20	6	0.96374
20	7	0.980386
20	8	0.909775
20	9	1.02971
20	10	0.99485
20	11	0.964213
21	0	1
21	1	0.955071
21	2	0.920515
21	3	0.929134
21	4	0
21	5	0.943168
21	6	0
21	7	0.995821
21	8	0
21	9	0.990082
21	10	0
21	11	0.936482
22	0	1
22	1	0.980388
22	2	0.999991
22	3	0.988574
22	4	1.02141
22	5	0.968231
22	6	1.02966
22	7	0.998291
22	8	0.979975
22	9	0.93094
22	10	0.975483
22	11	0.985932
23	0	1
23	1	0.9537
23	2	0.95215
23	3	0.956363
23	4	0.956823
23	5	0.98247
23	6	0.938759
23	7	1.01624
23	8	0.962008
23	9	0.969341
23	10	0.985453
23	11	1.00435
24	0	1
24	1	1.0453
24	2	1.01371
24	3	1.05563
24	4	1.00966
24	5	1.04959
24	6	1.08435
24	7	1.01018
24	8	0.97741
24	9	1.00081
24	10	1.04028
24	11	1.00397
25	0	1
25	1	0.987112
25	2	1.06894
25	3	1.00319
25	4	0.99524
25	5	0.988007
25	6	1.01611
25	7	1.12237
25	8	1.05192
25	9	1.0207
25	10	1.08233
25	11	1.01296
26	0	1
26	1	0.998637
26	2	1.01093
26	3	0
26	4	1.01298
26	5	0.983472
26	6	0.99179
26	7	1.01874
26	8	1.05286
26	9	1.08192
26	10	1.05807
26	11	1.07909
27	0	1
27	1	1
27	2	1
27	3	1
27	4	0
27	5	1.02658
27	6	1.01353
27	7	1.07057
27	8	0
27	9	1.01126
27	10	0.965438
27	11	1.00432
