DetNum	FrontCh	BackCh	min	max
16	1	2	-0.020	 0.360
16	1	3	 0.387	 0.773
16	2	0	-0.927	-0.513
16	2	1	-0.500	-0.087
16	2	2	-0.067	 0.313
16	2	3	 0.340	 0.740
16	3	0	-0.847	-0.440
16	3	1	-0.413	-0.013
16	3	2	-0.007	 0.380
16	3	3	 0.400	 0.793
17	0	0	-0.807	-0.400
17	0	1	-0.367	 0.020
17	0	2	 0.027	 0.453
17	0	3	 0.473	 0.893
17	1	0	-0.807	-0.427
17	1	1	-0.387	-0.047
17	1	2	 0.040	 0.407
17	1	3	 0.427	 0.800
17	2	0	-0.813	-0.427
17	2	1	-0.393	-0.007
17	2	2	-0.013	 0.380
17	2	3	 0.407	 0.820
17	3	0	-0.887	-0.487
17	3	1	-0.440	-0.040
17	3	2	-0.020	 0.340
17	3	3	 0.367	 0.793
18	0	0	0	0
18	0	1	0	0
18	0	2	0	0
18	0	3	0	0
18	1	0	0	0
18	1	1	0	0
18	1	2	0	0
18	1	3	0	0
18	2	0	0	0
18	2	1	0	0
18	2	2	0	0
18	2	3	0	0
18	3	0	0	0
18	3	1	0	0
18	3	2	0	0
18	3	3	0	0
19	0	0	-0.987	-0.407
19	0	1	-0.393	 0.020
19	0	2	 0.040	 0.453
19	0	3	 0.507	 0.920
19	1	0	-0.867	-0.453
19	1	1	-0.440	-0.033
19	1	2	-0.020	 0.380
19	1	3	 0.433	 0.833
19	2	0	-0.820	-0.427
19	2	1	-0.413	-0.013
19	2	2	 0.007	 0.393
19	2	3	 0.453	 0.867
19	3	0	-0.987	-0.507
19	3	1	-0.487	-0.067
19	3	2	-0.060	 0.347
19	3	3	 0.393	 0.833
20	0	0	-0.860	-0.460
20	0	1	-0.440	-0.040
20	0	2	-0.027	 0.380
20	0	3	 0.400	 0.787
20	1	0	-0.840	-0.420
20	1	1	-0.407	 0.020
20	1	2	 0.033	 0.453
20	1	3	 0.473	 0.873
20	2	0	-0.840	-0.460
20	2	1	-0.447	-0.040
20	2	2	-0.027	 0.380
20	2	3	 0.407	 0.800
20	3	0	-0.840	-0.447
20	3	1	-0.427	-0.033
20	3	2	-0.020	 0.373
20	3	3	 0.393	 0.787
21	0	0	0	0
21	0	1	0	0
21	0	2	0	0
21	0	3	0	0
21	1	0	-0.867	-0.453
21	1	1	-0.447	-0.040
21	1	2	-0.033	 0.380
21	1	3	 0.400	 0.787
21	2	0	0	0
21	2	1	0	0
21	2	2	0	0
21	2	3	0	0
21	3	0	-0.913	-0.520
21	3	1	-0.493	-0.073
21	3	2	-0.060	 0.327
21	3	3	 0.353	 0.767
22	0	0	-0.853	-0.447
22	0	1	-0.440	-0.033
22	0	2	-0.027	 0.387
22	0	3	 0.400	 0.793
22	1	0	-0.860	-0.460
22	1	1	-0.453	-0.040
22	1	2	-0.040	 0.373
22	1	3	 0.393	 0.787
22	2	0	-0.927	-0.527
22	2	1	-0.513	-0.100
22	2	2	-0.073	 0.313
22	2	3	 0.340	 0.747
22	3	0	-0.833	-0.447
22	3	1	-0.427	-0.027
22	3	2	-0.020	 0.387
22	3	3	 0.400	 0.800
23	0	0	-0.813	-0.400
23	0	1	-0.393	 0.020
23	0	2	 0.047	 0.447
23	0	3	 0.467	 0.860
23	1	0	-0.847	-0.447
23	1	1	-0.440	-0.033
23	1	2	-0.020	 0.393
23	1	3	 0.413	 0.800
23	2	0	-0.833	-0.440
23	2	1	-0.433	-0.033
23	2	2	-0.007	 0.380
23	2	3	 0.400	 0.793
23	3	0	-0.913	-0.500
23	3	1	-0.487	-0.067
23	3	2	-0.060	 0.347
23	3	3	 0.367	 0.773
