Wire	Slope	Shift
0	5.56	11.02
1	5.07	11.5
2	5.28	10.07
3	4.74	10.92
4	5.72	11.07
5	6.31	7.54
6	1	0
7	5.54	9.83
8	4.54	10.57
9	5.11	9.07
10	5.06	9.59
11	5.66	10.42
12	4.86	10.55
13	4.81	10.47
14	4.29	11.49
15	3.79	11.14
16	1	0
17	1	0
18	4.17	10.64
19	4.53	10.77
20	5.17	11.67
21	4.75	10.95
22	4.86	11.22
23	4.79	10.49
