Wire	Slope	Shift
0	18.7218	11.0757
1	18.2031	11.9288
2	18.0803	10.8127
3	18.3307	12.117
4	18.703	12.1895
5	17.7707	10.7619
6	18	14
7	19.2384	10.2757
8	19.9842	10.8775
9	20.0166	10.5455
10	19.4086	9.55438
11	18.609	10.9794
12	18	14
13	19.7269	10.4104
14	18.6572	11.3207
15	19.1567	11.2071
16	21.6263	10.3173
17	18.0426	11.525
18	18.4271	10.6749
19	18.4102	11.8847
20	18.2079	12.6754
21	17.4095	11.703
22	18.3652	12.2855
23	18.6625	11.1449
