Wire	Slope	Shift
0	17.9067	11.2185
1	18.0946	12.0721
2	16.8453	11.1765
3	17.7089	12.3516
4	18.5502	12.5652
5	18.0499	11.17
6	1	0
7	18.5468	10.6416
8	19.3848	10.9764
9	18.9967	10.6753
10	17.6812	10.3281
11	18.5468	11.2516
12	18.4901	10.9292
13	18.8921	10.8721
14	17.5932	11.491
15	18.0644	11.5395
16	18.7884	10.6143
17	18.7	11.825
18	18.0525	10.7186
19	19.4848	12.5384
20	17.877	13.0279
21	17.3907	12.1218
22	18.3767	12.2802
23	18.1657	11.5162
