Wire	Slope	Shift
0	18.7218	9.94143
1	18.2031	12.8134
2	18.0803	11.1424
3	18.3307	12.2939
4	18.703	12.3989
5	17.7707	11.2092
6	18	14
7	19.2384	9.88773
8	19.9842	10.6493
9	20.0166	10.4004
10	19.4086	9.47123
11	18.609	11.4809
12	18	14
13	18	14
14	18.6572	12.658
15	19.1567	11.9986
16	21.6263	12.9335
17	18.0426	13.6883
18	18.4271	10.3524
19	18.4102	12.5407
20	18.2079	13.7732
21	17.4095	12.5195
22	18.3652	12.7159
23	18.6625	11.6703
